Topic,Question,Option 1,Option 2,Option 3,Option 4,Answer
time and work,"
4.  A एक कार्य को 18 दिन में पूरा करता है तथा B उसी को आधे समय में पूरा करता है | दोनों मिलकर एक दिन में कितना कार्य  कर लेंगे ?
",    1/6,    1/9,    2/5,    2/7,A
time and work,"
5.  A एक कार्य को 10 दिन में पूरा करता है तथा B उसी कार्य को 15 दिन में पूरा करता है | दोनों मिलकर उस कार्य को कितनें दिन में पूरा कर लेंगे ?
",    5 दिन ,    6 दिन ,    8 दिन ,    9 दिन ,B
time and work,"
6.  यदि 12 आदमी रोजाना 5 घंटे काम करके एक काम को 90 दिन में खत्म करते हैं तो 5 आदमी रोजाना 10 घन्टे काम करके उसी काम को कितने दिन में करेंगे ?
",    80 दिन,    95 दिन,    108 दिन,    100 दिन,C
time and work,"
7.  A एक कार्य को 20 दिन में कर सकता है तथा B उसी कार्य को A से आधे समय में कर सकता है | तब दोनों साथ कार्य करते हुए एक दिन में कितना कार्य खत्म कर सकते है?
",    3/20,    1/20,    3/20,    1/10,A
time and work,"
8.  A एक कार्य को करने में 10 घंटे लगाता है, B उसी कार्य को करने में 12 घंटे लगाता है A तथा B दोनों मिलकर उस कार्य को कितने घंटो में खत्म कर लेंगे?
",    12/3,    60/11,    60/7,    10/5,B
time and work,"
9.  यदि 6 पुरुस और 8 स्त्रियाँ एक कार्य को 10 दिन में पूरा करते हैं तथा 26 पुरुष और 48 स्त्रियाँ उसी कार्य को 2 दिन में पूरा करते हैं तो 15 पुरुष तथा 20 स्त्रियाँ उसी कार्य को कितने दिन में पूरा करेंगे?
",    3 दिन  ,    5 दिन  ,    4 दिन  ,    6 दिन  ,C
time and work,"
10.  A तथा B एक कार्य को 12 दिन में पूरा करते हैं, B तथा C उसी कार्य को 15 दिन में पूरा करते है,  C तथा A, 20 दिन में पूरा करते हैं | यदि A, B तथा C तीनो एक साथ काम करें तो उस कार्य को कितने दिन में पूरा कर लेंगे?
",    10 दिन,    12 दिन,    8 दिन,    16 दिन,A
time and work,"
11.  A तथा B एक कार्य 8 दिन में पूरा कर सकते है, B तथा C  उसी कार्य को 12 दिन में पूरा कर सकते हैं | A, B तथा C एक साथ उस कार्य को 6 दिन में पूरा कर सकते हैं | A तथा C एक साथ उस कार्य को पूरा करेंगें -
",    6  दिन,    8  दिन,    10  दिन,    5  दिन,B
time and work,"
12.  A एक कार्य 18 दिन में खत्म करता है तथा B उसी कार्य को 15 दिन में करता है | B, 10 दिन काम करता तथा फिर काम छोड़ देता हैं शेष कार्य को A अकेला कितने दिन में पूरा कर लेगा?
",    6  दिन,    5 दिन  ,    4 दिन  ,    8 दिन,A
time and work,"
13.  A एक कार्य को 24 दिन में पूरा करता हैं B उस कार्य को 9 दिन में तथा C  12 दिन में करता हैं | B तथा C कार्य को शुरू करते हैं लेकिन 3 दिन बाद कार्य बन्द करा दिया जाता हैं | शेष कार्य A द्वारा किया गया – 
",    8 दिन,    10 दिन,    6 दिन,    12 दिन,B
time and work,"
14.  A  की क्षमता B से 30% ज्यादा है | A एक कार्य 23 दिन पूरा कर सकता है | यदि A तथा B मिलकर कार्य करें तो कार्य को कितने दिन में पूरा कर लेंगे?
",    10 दिन,    13 दिन,    12 दिन,    11 दिन,B
time and work,"
15.  10 आदमी एक कार्य को 7 दिन में करते है लेकिन 10 स्त्रियाँ उसी काम को  14 दिन में पूरा करती हैं|     5 आदमी तथा 10 स्त्रियाँ उस काम को कितने दिन में पूरा कर लेंगे?
",    5 दिन,    6 दिन,    7 दिन,    8 दिन,C
time and work,"
16.  4 पुरुष तथा 6 स्त्रियाँ एक कार्य को 8 दिन में पूरा करते हैं, तथा 3 पुरुष तथा 7 स्त्रियाँ उसी कार्य को 10 दिन में पूरा करते हैं | 10 स्त्रियाँ उस कार्य को कितने दिन में पूरा करते हैं
",    40 दिन,    30 दिन,    35 दिन,    45 दिन,A
time and work,"
17.  A एक कार्य को 10 दिन में पूरा कर सकता हैं, B उसी कार्य को 15 दिन में पूरा कर सकता हैं | वे दोनों 5 दिन कार्य करते हैं | शेष कार्य को C ने 2 दिन पूरा किया | यदि पूरे कार्य को करने के लिए उन्हे 1500 रू मिले तो B तथा C की रोजाना की आय है – 
",    200 रू०,    225 रू०,    230 रू०,    210 रू०,B
time and work,"
18.  A 20 दिन में एक कार्य का 4/5 भाग पूरा करता हैं | उसके बाद B भी उसके साथ शामिल हो जाता हैं तथा वे दोनों मिलकर उस कार्य को 3 दिन में खत्म करते हैं | B अकेले उस कार्य को कितने दिन में पूरा कर लेगा?
",    35 दिन,    30 दिन,    37 1/2 दिन,    25 दिन,C
time and work,"
19.  A 20 दिन में एक कार्य का 4/5 भाग पूरा करता हैं | उसके बाद B भी उसके साथ शामिल हो जाता हैं तथा वे दोनों मिलकर उस कार्य को 3 दिन में खत्म करते हैं | B अकेले उस कार्य को कितने दिन में पूरा कर लेगा?
",    32 दिन,    37 1/2 दिन,    35 दिन,    40 दिन,B
time and work,"
20.  A  तथा B एक कार्य को 45 दिन तथा 40 दिन में करते हैं | दोनों साथ साथ कार्य को शुरु करते हैं लेकिन कुछ दिन बाद A कार्य छोड़ देता हैं तथा B शेष कार्य को 23 दिन में पूर्ण करता हैं A ने कितने दिनों बाद कार्य छोड़ा था? 
",    9 दिन,    8 दिन,    6 दिन,    7 दिन,A
time and distance,"
1.  एक व्यक्ति 450 मीटर की दूरी को 1 मिनट 30 सेकेंड में तय करता है | किमी/घंटा में व्यक्ति की चाल क्या है ?
",    10 किमी/घंटा ,    18 किमी/घंटा ,    15 किमी/घंटा ,    12 किमी/घंटा ,B
time and distance,"
2.  एक कार 60 किमी/घंटा की चाल से चल रही है | मी०/से० में कार की चाल क्या है ?
",    20  मी०/ से० ,    30  मी०/ से० ,    50/3  मी०/ से० ,    15  मी०/ से० ,C
time and distance,"
3.  एक साइकिल सवार 500 मीटर की एक रेस 45 सेकंड में जीतता है | उसकी चाल है :
",    30  किमी/घंटा ,    40  किमी/घंटा ,    35  किमी/घंटा ,    45  किमी/घंटा ,B
time and distance,"
4.  एक आदमी 1.5 किमी० लम्बे पुल को 5 मिनट में पार करता है | किमी/घंटा में उसकी चाल क्या  है ?
",    18  किमी /घंटा ,    20  किमी /घंटा ,    15  किमी /घंटा ,    16  किमी /घंटा ,A
time and distance,"
5.  यदि एक
व्यक्ति 20 किमी/घंण्टा की चाल से दौड़ता है, तो वह 400 मी की दूरी तय करने में कितना समय लेगा?
",    50 सेकण्ड,    72 सेकण्ड,    65 सेकण्ड,    30 सेकण्ड,B
time and distance,"
6.  एक साईकिल सवार 600 मी० की
दूरी 2 मिनट
में तय करता है | साईकिल सवार की चाल किमी/घंण्टा में ज्ञात कीजिए |
",    18 किमी/घंण्टा,    20 किमी/घंण्टा,    15 किमी/घंण्टा,    10 किमी/घंण्टा,A
time and distance,"
7.  एक कार
90 किमी/घंण्टा की चाल से दौड़ती है | मी०/से० में कार की चाल क्या है?
",    20 मी०/से०,    25 मी०/से०,    15 मी०/से०,    10 मी०/से०,B
time and distance,"
8.  यदि एक व्यक्ति 15 किमी/घंण्टा की चाल से दौड़ता है, तो वह 1500 मी० की दूरी तय करने में कितना समय लेगा?
",    5 घन्टे,    4 घन्टे,    6 घन्टे,    3 घन्टे,C
time and distance,"
9.  एक बस 15 कि०मी०/घ० की चाल से 10 मिनट में एक पुल को पार करती है | पुल की लम्बाई (मीटर में) ज्ञात करो |
",    2000 मीटर,    2500 मीटर,    2200 मीटर,    2300 मीटर,B
time and distance,"
10.  निम्न में से कौन सी कार सबसे तेज दौड़ रही है?
",    90 किमी/घंण्टा,    25 मी/से०,    1500 मी०/मिनट,    इनमें से कोई नही,D
time and distance,"
11.  एक व्यक्ति 300 मी०
लम्बी गली को 2 मिनट
में पार करता है | किमी/घंण्टा में उसकी चाल क्या है?
",    9 किमी/घंण्टा,    7 किमी/घंण्टा,    5 किमी/घंण्टा,    6 किमी/घंण्टा,A
time and distance,"
12.  एक व्यक्ति 90 किमी/घंण्टा की
चाल से दौड़
रहा है | वह 20 से० में कितनी दूरी तय करेगा?
",    60 मी० ,    120 मी० ,    250 मी० ,    500 मी० ,D
time and distance,"
13.  एक
व्यक्ति एक दौड़ प्रतियोगिता में 180 किमी/घंण्टा की चाल से दौड़ रहा है | 30 से० में व्यक्ति दुवारा तय की गई दूरी ज्ञात कीजिए |
",    1.5 कि०मी०,    2 कि०मी०,    1 कि०मी०,    2.5 कि०मी०,A
time and distance,"
14.  कार A 550 मी० की दूरी 1 मिनट
में तय करती है जबकि कार B 33 कि०मी०
की दूरी 45 मिनट
में तय करती है | दोनों कारों की चालों का अनुपात है -
",    2: 3,    3: 4 ,"    1: 2	",    1: 3,B
time and distance,"
15.  एक कार की चाल प्रत्येक घन्टे के बाद 2 कि०मी० बढ़ जाती है | यदि प्रथम एक घन्टे तय की गई दूरी 35 कि०मी० थी | तब 12 घंण्टा
में तय की गई कुल दूरी क्या थी?
",    556 कि०मी०,    456 कि०मी०,    552 कि०मी०,    382 कि०मी०,C
time and distance,"
16.  एक लड़का 3 कि०मी० की चाल से अपने घर से स्कूल जाता है तथा 2 किमी/घंण्टा की चाल से वापस लौटता है | यदि वह आने तथा जाने में 5 घंटे लेता है तो उसके घर तथा स्कूल के बीच की दूरी है –
",    5 कि०मी०,    5.5 कि०मी०,    6 कि०मी०,    6.5 कि०मी०,C
time and distance,"
17.  1.      
राम 5 किमी/घंण्टा की
चाल से 15  कि०मी० चलता है | अगले 3 घन्टो में उसे
किस चाल से चलना पड़ेगा, कि कुल यात्रा का औसत 15 किमी/घंण्टा हो जाये?
",    25 किमी/घंण्टा,    20 किमी/घंण्टा,    15 किमी/घंण्टा,    10 किमी/घंण्टा,A
time and distance,"
18.  एक
ट्रेन जब 40 किमी/घंण्टा की औसत
चाल से चलती है, तो वह अपने गंतव्य पर सही समय पर पहुँचती है | जब इसकी औसत चाल 35 किमी/घंण्टा हो जाती है तब यह अपने गंतव्य पर 15 मिनट की देरी से पहुँचती है | कुल दूरी ज्ञात कीजिए |
",    30 कि०मी०,    40 कि०मी०,    70 कि०मी०,    80 कि०मी०,C
time and distance,"
19.  जब एक बस, बस स्टॉप पर रुक कर चलती है तो उसकी चाल 45 किमी/घंण्टा हो जाती है तथा जब बस, बस स्टॉप पर बिना
रुके चलती है तो उसकी चल 54 किमी/घंण्टा हो जाती है | बस प्रत्येक घन्टे में
कितने मिनट रूकती है?
",    9,    10,    12,    20,B
time and distance,"
20.  दो
व्यक्ति एक निश्चित गंतव्य तक पहुँचती के लिए एक साथ चलना शुरू करते है | उनमे से
पहला 3 किमी/घंण्टा तथा दूसरा 3.75 किमी/घंण्टा की चाल से चलता है | दूसरा व्यक्ति, पहले व्यक्ति से आधा घंण्टा पहले पहुँच
जाता है | कुल दूरी है -
",    7.5 कि०मी०,    8 कि०मी०,    6 कि०मी०,    9.5 कि०मी०,A
train problems,"
1.  एक रेलगाड़ी 90 कि०मी०/घ० की चाल से रही है | मी०/से० में इसकी चाल है -
",    25 मी०/से०,    20 मी०/से०,    15 मी०/से०,    30 मी०/से०,A
train problems,"
2.  एक रेलगाड़ी 15 मी०/से० की चाल से चल रही है | कि०मी०/घ० में इसकी चाल क्या होगी ?
",    50 कि०मी०/घ०,    52 कि०मी०/घ०,    54 कि०मी०/घ०,    55 कि०मी०/घ०,C
train problems,"
3.  एक रेलगाड़ी 45 कि०मी०/घ० की चाल से चल रही है | मीटर/से० में रेलगाड़ी की क्या चाल है ?
",    10 मी०/से० ,    12.5 मी०/से० ,    15 मी०/से० ,    16 मी०/से० ,B
train problems,"
4.  100 मीटर लम्बी एक रेलगाड़ी 30 कि०मी०/घ० की चाल से चाल रही है | रेलवे स्टेशन पर खड़े एक व्यक्ति को पार करने में लगा समय ज्ञात कीजिये |
",    10 से० ,    12 से० ,    15 से० ,    20 से० ,B
train problems,"
5.  एक रेलगाड़ी जिसकी लम्बाई 250 मी० है, 90 कि०मी०/घ० की चाल से चल रही है | रेलगाड़ी द्वारा एक बिजली के खम्बे को पार करने में लगा समय है -
",    8 से० ,    9 से० ,    10 से० ,    12 से० ,C
train problems,"
6.  एक ट्रेन
60 किमी/घंण्टा की चाल से चल रही है| वह 9 से० में एक खम्भे को पार करती है | ट्रेन की लम्बाई क्या है?
",    120 मी०,    150 मी०,    200 मी०,    100 मी०,B
train problems,"
7.  एक 400 मी०लम्बी ट्रेन 72 किमी/घंण्टा की चाल से चल रही है | एक बिजली से खम्भे को पार करने
में ट्रेन कितना समय लेगी?
",    15 से०,    20 से०,    19 से०,    21 से०,B
train problems,"
8.  एक 1500 मी० लम्बी ट्रेन 108 किमी०/घंण्टा की चाल से चल रही है | एक बिजली से खम्भे को पार करने
में ट्रेन कितना समय लेगी?
",    50 से०,    60 से०,    40 से०,    30 से०,A
train problems,"
9.  एक 500 मी० लम्बी ट्रेन 36 किमी/घंण्टा की चाल से चल रही है | एक पेड़ को पार
करने में ट्रेन कितना समय लेगी?
",    20 से०,    30 से०,    50 से०,    40 से०,C
train problems,"
10.  एक 600 मी० लम्बी ट्रेन 75 किमी/घंण्टा की चाल से चल रही है | कितने समय में
ट्रेन 15 किमी/घंण्टा की चाल से ट्रेन की चलने की दिशा में चलने वाले व्यक्ति को पार कर
लेगी?
",    20 से०,    10 से०,    36 से०,    40 से०,C
train problems,"
11.  एक 300 मी० लम्बी ट्रेन 50 कि०मी०/ घ० की चाल से चल रही है | कितने समय में ट्रेन 5 कि०मी०/घ० की चाल से ट्रेन की चलने की दिशा में चल रहे व्यक्ति को पार कार लेगी ?
",    24 से०,    20 से०,    15 से०,    30 से०,A
train problems,"
12.  एक 550 मी० लम्बी ट्रेन 56 किमी/घंण्टा की चाल से चल रही है | कितने समय में ट्रेन 10 किमी/घंण्टा की चाल से ट्रेन की विपरीत दिशा में चल रहे व्यक्ति को पार कर लेगी?
",    20 से०,    30 से०,    25 से०,    35 से०,B
train problems,"
13.  एक 350 मी०लम्बी ट्रेन 72 किमी/घंण्टा की चाल से चल रही है | कितने समय में ट्रेन 12 किमी/घंण्टा की चाल से ट्रेन की विपरीत दिशा में चल रहे व्यक्ति को पार कर लेगी?
",    10 से० ,    20 से० ,    25 से०,    15  से० ,D
train problems,"
14.  दो ट्रेन जिनकी लम्बाई क्रमशः 1200 मी० तथा
1500 मी० है
समान्तर पटरी पर एक दूसरे की ओर चल रही है | पहली ट्रेन की चाल 160 किमी/घंण्टा  तथा दूसरी ट्रेन की चाल 200 किमी/घंण्टा है | दोनों ट्रेन अपने मिलने के समय से कितने समय में एक दूसरे को
पार कर लेगी?
",    20 से०,    27 से०,    30 से०,    35 से०,B
train problems,"
15.  300 मी० लम्बी तथा 350 लम्बी दो ट्रेन क्रमशः 52 किमी/घंण्टा तथा 34 किमी/घंण्टा की चाल से एक ही दिशा में चल रही है | कितने समय में पहली ट्रेन
दूसरी ट्रेन को पार कर लेगी?
",    50 से०,    1 घंटा ,    2 घंटे,    2 घंटे 10 मिनट,D
train problems,"
16.  एक व्यक्ति, जो 65 किमी/घंण्टा की चाल से चलने वाली ट्रेन में बैठा है, वह 12 से० एक दूसरी ट्रेन को गुजरते हुए देखता है जो दूसरी दिशा में चल रही है यदि दूसरी
ट्रेन की लम्बाई 360 मी० है तो इसकी चाल ज्ञात कीजिए |
",    43 किमी/घंण्टा,    35 किमी/घंण्टा,    30 किमी/घंण्टा,    50 किमी/घंण्टा,A
train problems,"
17.  एक व्यक्ति ट्रेन A में बैठा है जो 32 किमी/घंण्टा की चाल से चल रही है, वह 15 से० में दूसरी ट्रेन B को गुजरते हुए देखता है जो दूसरी दिशा में चल रही है
| यदि ट्रेन B की लम्बाई 250 मी० है तो इसकी चाल ज्ञात कीजिए|
",    20 किमी/घंण्टा,    25 किमी/घंण्टा,    28 किमी/घंण्टा,    30 किमी/घंण्टा,C
train problems,"
18.  कितने
समय में 42 किमी/घंण्टा की चाल से चलने वाली 420 मी० लम्बी एक ट्रेन, 6 किमी/घंण्टा की चाल से उसी दिशा में चल रहे एक व्यक्ति को पार कर लेगी?
",    42 से० ,    30 से० ,    35 से० ,    45 से० ,A
train problems,"
19.  दो स्टेशन A तथा B एक ही
सीध में 250 कि०मी०
दूर है | एक ट्रेन स्टेशन A से 8: 30 AM. पर 30 किमी/घंण्टा की चाल से स्टेशन B की ओर चलना शुरू करती है | दूसरी ट्रेन 10 AM पर 40 किमी/घंण्टा की चाल से स्टेशन A की ओर चलना शुरू करती है | वे दोनों कितने बजे एक
दूसरे से मेलेंगी?
",    10: 30 M,    11: 30 A.M,    11 A.M,    11:15 A.M,B
train problems,"
20.  ट्रेन A  शाम 7 बजे दिल्ली से चलती है और रत 9 बजे
आगरा पहुँचती है | जबकि दूसरी ट्रेन B आगरा से शाम 7 बजे चलती है और रात 10 बजे दिल्ली पहुँचती है | दोनों ट्रेन कितने बजे एक दूसरे
से मिलेंगी?
",    8: 12 PM,    8: 30 PM,    8: 50 PM,    8: 40 PM,A
G.K,"
1.  मोहन जोदड़ो कहाँ स्थित है ?
",    सिंध ,    गुजरात ,    पंजाब ,    उत्तर प्रदेश ,Coming Soo
G.K,"
2.  हड़प्पा सभ्यता की खोज किस वर्ष में हुई थी ?
",    1935 ई०,    1942 ई०,    1901 ई०,    1921 ई०,Coming Soo
G.K,"
3.  हड़प्पा सभ्यता किस युग की थी ?
",    नव पाषाण युग ,    कांस्य युग ,    लौह युग ,    पुरा पाषाण युग ,Coming Soo
G.K,"
4.  सिन्धु घाटी स्थल कालीबंगन किस प्रदेश में है ?
",    राजस्थान ,    गुजरात ,    मध्य प्रदेश ,    उत्तर प्रदेश ,Coming Soo
G.K,"
5.  निम्नलिखित में से कौनसा हड़प्पा कालीन स्थल गुजरात में था ?
",    कालीबंगा ,    रोपड़ ,    बणावली,    लोथल ,Coming Soo
G.K,"
6.  हड़प्पा सभ्यता का प्रचलित नाम है ?
",    सिन्धु सभ्यता ,    लोथल सभ्यता ,    सिन्धु घाटी की सभ्यता ,    मोहन जोदड़ो की सभ्यता ,Coming Soo
G.K,"
7.  भारत में खोजा गया सबसे पुराना शहर था -
",    हड़प्पा ,    पंजाब ,    मोहन जोदड़ो ,    सिंध ,Coming Soo
G.K,"
8.  सिन्धु सभ्यता निम्नलिखित में से किस युग में पड़ता है ?
",    ऐतिहासिक काल ,    प्रागौतिहासिक काल ,    उत्तर प्रागौतिहासिक काल ,    आध ऐतेहासिक काल ,Coming Soo
G.K,"
9.  पूर्व-वैदिक या ऋग्वेदिक संस्कृति का काल किसे माना जाता है ?
",    1500 ई०पू० - 1000 ई०पू०,    1000 ई०पू० - 600 ई०पू०,    600 ई०पू० - 600 ई०,    इनमे से कोई नहीं ,Coming Soo
G.K,"
10.  वेदों की संख्या कितनी है ?
",    दो,    तीन ,    चार ,    पांच,Coming Soo
G.K,"
11.  पुराणों की संख्या कितनी है ?
",    18,    19,     20,    21,Coming Soo
G.K,"
12.  ""चरक संहिता"" नामक पुस्तक किस विषय से सम्बन्धित है ?
",    अर्थशास्त्र ,    राजनीति ,    चिकित्सा,    धर्म ,Coming Soo
G.K,"
13.  सबसे प्राचीन वेद कौन सा है ?
",    ऋग्वेद ,    यजुर्वेद ,    सामवेद ,    अथर्ववेद,Coming Soo
G.K,"
14.  गायत्री मंत्र की रचना किसने की थी ?
",    वशिष्ठ ,    विश्वामित्र ,    इन्दु ,    परीक्षित ,Coming Soo
G.K,"
15.  ""मनुस्मृति"" मुख्यतया सम्बन्धित है ?
",    समाज व्यवस्था से ,    कानून से ,    राज्यकार्य पद्धति से ,    अर्थशास्त्र से ,Coming Soo
G.K,"
16.  सिन्धु घाटी के लोगों का मुख्य व्यवसाय क्या था?
",    व्यापार,    पशुपालन,    शिकार,    कृषि,..
G.K,"
17.  हड़प्पा सभ्यता के निवासी थे?
",    ग्रामीण,    शहरी,    खानाबदोश,    जनजातीय,..
G.K,"
18.  मोहनजोदड़ो को किस एक अन्य नाम से भी जाता है?
",    जीवितों का टीला,    कंकालों का टीला,    दासों का टीला,    मृतकों का टीला,..
G.K,"
19.  आर्य शब्द का शाब्दिक अर्थ है -
",    वीर,    श्रेष्ठ,    पुरोहित,    विद्वान ,..
G.K,"
20.  ""असतो मा सद्गयम"" कहाँ से लिया गया है?
",    ऋग्वेद,    यजुर्वेद,    सामवेद,    अथर्ववेद,..
G.K,"
1.  उज्जैन का प्राचीन नाम था -
",    अवन्तिका,    तक्षशिला,    कान्यकुब्ज,    धान्यकटक,..
G.K,"
2.  जैन परम्परा के अनुसार जैन धर्म में कुल कितनें तीर्थकर हुए?
",    20,    22,    24,    14,..
G.K,"
3.  त्रिपिटक धर्म ग्रन्थ है -
",    जैनों का,    बौद्धों का,    सिक्खों का,    हिन्दुओं का ,..
G.K,"
4.  गौतम बुद्ध ने अपना प्रथम उपदेश कहाँ दिया था?
",    बोधगया,    लुम्बिनी ,    सारनाथ,    कुशीनगर,..
G.K,"
5.  महावीर स्वामी का जन्म कहाँ हुआ था -
",    कुंडग्राम में ,    पाटलिपुत्र में ,    मगध में ,    वैशाली में ,..
G.K,"
6.  गौतम बुद्ध का जन्म कब हुआ था -
",    563 ई०पू०,    558 ई०पू०,    561 ई०पू०,    544 ई०पू०,..
G.K,"
7.  गौतम बुद्ध का गुरु कौन था -
",    पाणिनि,    आलार कलाम ,    कपिल ,    पांतजलि ,..
G.K,"
8.  निम्नलिखित में से प्राचीनतम राजवंश कौन सा है?
",    मोर्य,    गुप्त,    कुषाण,    कण्व,..
G.K,"
9.  हड़प्पा सभ्यता का सर्वाधिक मान्यता प्राप्त काल है -
",    2800 ई०पू० - 2000 ई०पू०,    2500 ई०पू० - 1750 ई०पू०,    3500 ई०पू० - 1800 ई०पू०,    निश्चित नहीं हो सका ,..
G.K,"
10.  वैदिक गणित का महत्वपूर्ण अंग है -
",    शतपथ ब्राह्मण,    अथर्ववेद ,    सुल्व सूत्र ,    छांदोग्य उपनिषद,..
G.K,"
11.  किस वेद में प्राचीन वैदिक युग की सांस्कृतिक के बारे में सूचना दी गयी है?
",    ऋग्वेद,    यजुर्वेद,    अथर्ववेद,    सामवेद,..
G.K,"
12.  भारत में राजचिन्ह में प्रयुक्त होने वाले शब्द ""सत्यमेव जयते"" किस उपनिषद से लिए गये हैं?
",    मुण्डक उपनिषद ,    कढ उपनिषद ,    ईश उपनिषद ,    वृद्धारण्यक उपनिषद ,..
G.K,"
13.  गायत्री मन्त्र किस पुस्तक में मिलता है?
",    ऋग्वेद,    यजुर्वेद,    उपनिषद,    भगवद्गीता,..
G.K,"
14.  आदि काव्य की संज्ञा किसे दी जाती है?
",    रामायण ,    महाभारत ,    गीता,    भागवत पुराण ,..
G.K,"
15.  जैनियों के पहले तीर्थकर कौन थे-
",    अरिष्टनेमी ,    पार्श्वनाथ ,    अजितनाथ ,    ऋषभदेव ,..
G.K,"
16.  भारत में सबसे बड़ा बौद्ध स्तूप कहाँ स्थित है?
",    सारनाथ ,    साँची ,    गया ,    अजन्ता ,..
G.K,"
17.  मौर्य साम्राज्य की स्थापना किसने की थी -
",    बिन्दुसार ,    चन्द्रगुप्त मौर्य ,    अशोक ,    बिम्बिसार ,..
G.K,"
18.  मेगस्थनीज की पुस्तक का नाम क्या है?
",    अर्थशास्त्र ,    ऋग्वेद ,    पुराण,    इण्डिका ,..
G.K,"
19.  प्रथम भारतीय साम्राज्य स्थापित किया गया -
",    कनिष्ठ द्वारा ,    हर्ष द्वारा ,    चन्द्रगुप्त मौर्य द्वारा ,    समुद्रगुप्त द्वारा ,..
G.K,"
20.  विक्रम सवंत कब से प्रारम्भ हुआ?
",    78 ई०,    58 ई० पू०,    72 ई० पू०,    56 ई० पू०,..
G.K,"
1.  भारत एक है -
",    संघ राज्य ,    राज्यों का संघ ,    प्रान्तों का संघ ,    एक राज्य इकाई ,Coming Soo
G.K,"
2.  वर्तमान समय में भारत में राज्यों की संख्या कितनी है ?
",    21,    25,    29,    31,Coming Soo
G.K,"
3.  वर्तमान में भारतीय संघ में राज्यों और केन्द्र शासित राज्यों की संख्या कृमश: कितनी हैं ?
","    24, 8","    25, 8","    29, 7","    26, 8",Coming Soo
G.K,"
4.  भारत की संघीय व्यवस्थापिका को किस नाम से जाना जाता है ?
",    लोकसभा ,    राज्यसभा ,    प्रतिनिधि सभा ,    संसद ,Coming Soo
G.K,"
5.  भारतीय संसद में कितने सदन हैं ?
",    एक ,    दो ,    तीन,    चार ,Coming Soo
G.K,"
6.  भारतीय संसद बनती है -
",    केवल लोकसभा द्वारा ,    राज्यसभा एवं लोकशभा के द्वारा ,    लोकसभा एवं राष्ट्रपति के द्वारा ,"    लोकसभा, राज्यसभा एवं राष्ट्रपति के द्वारा ",Coming Soo
G.K,"
7.  भारतीय संविधान के अनुसार देश का प्रथम नागरिक कौन होता है ?
",    राष्टपति ,    लोकसभा अध्यक्ष ,    उपराष्ट्रपति ,    प्रधानमंत्री ,Coming Soo
G.K,"
8.  भारत के राष्टपति निर्वाचित होने के पात्र बनने के लिए किसी व्यक्ति की आयु पूर्ण होनी चाहिए -
",    21 वर्ष ,    25 वर्ष ,    30 वर्ष ,    35 वर्ष ,Coming Soo
G.K,"
9.  उपराष्ट्रपति -
",    लोकसभा का सदस्य होता है ,    राज्यसभा का सदस्य होता है ,    किसी भी सदन का सदस्य होता है ,    सांसद (संसद सदस्य) नहीं होता है ,Coming Soo
G.K,"
10.  उपराष्ट्रपति के कार्यकाल की अवधि कितने वर्ष की होती है ?
",    4 वर्ष ,    5 वर्ष ,    6 वर्ष ,    5.6 वर्ष ,Coming Soo
G.K,"
11.  राज्यसभा के सदस्यों के लिए न्यूनतम आयु है -
",    21 वर्ष ,    25 वर्ष ,    30 वर्ष ,    35 वर्ष ,Coming Soo
G.K,"
12.  राज्यसभा के सदस्यों का कार्यकाल कितने वर्ष का होता है ?
",    3 वर्ष ,    4 वर्ष ,    5 वर्ष ,    6 वर्ष ,Coming Soo
G.K,"
13.  लोकसभा का नेता कौन होता है ?
",    राष्ट्रपति ,    प्रधानमंत्री ,    लोकसभा अध्यक्ष ,    इनमें से कोई नहीं ,Coming Soo
G.K,"
14.  भारत के प्रधानमंत्री -
",    राष्ट्रपति द्वारा चुने जाते हैं ,    राज्यों के मुख्यमंत्रियों द्वारा चुनें जाते हैं ,    लोकसभा में बहुमत दल के नेता होते हैं ,    चुने नहीं जाते बल्कि वंशागत होते है ,Coming Soo
G.K,"
15.  लोकसभा के अध्यक्ष को कौन चुनता है ?
",    राष्ट्रपति ,    लोकसभा के सदस्य ,    लोकसभा के निर्वाचिक सदस्य ,    संसद के सदस्य ,Coming Soo
G.K,"
16.  भारत की संसद का उदघाटन कब हुआ था?
",    1917 में,    1927 में,    1937 में,    1947 में,..
G.K,"
17.  सांसदों के वेतन का निर्णय कौन करता है?
",    संसद,    केन्द्रीय मंत्रिपरिषद ,    राष्ट्रपति ,    लोकसभा अध्यक्ष ,..
G.K,"
18.  भारत में सभी रक्षा बलों का सर्वोच्च कमांडर है -
",    रक्षा मंत्री ,    आर्मी स्टाफ का अध्यक्ष और एयर मार्शल ,    प्रधानमंत्री ,    भारत का राष्ट्रपति ,..
G.K,"
19.  भारत में राष्ट्रपति का चुनाव कितनें वर्षो के लिए होता है?
",    6 वर्ष,    5 वर्ष,    4 वर्ष,    3 वर्ष,..
G.K,"
20.  निम्नलिखित में से कौन लगातार दो बार राष्ट्रपति रहे थे?
",    डॉ० राजेन्द्र प्रसाद ,    डॉ० एस० राधाकृष्णन ,    डॉ. जाकिर हुसैन,    (अ) और (ब) दोनों,..
G.K,"
1.  भारत सरकार का सांविधानिक अध्यक्ष है?
",    राष्ट्रपति ,    प्रधानमंत्री ,    भारत का मुख्य न्यायधीश ,    महान्यायवादी ,..
